"HS2","HS2ID","HS4","HS4ID","Section","SectionID","TradeValue","Year"
"Beverages, spirits and vinegar",422,"Water",42201,"Foodstuffs",4,677736,2019
"Beverages, spirits and vinegar",422,"Flavored Water",42202,"Foodstuffs",4,41820943,2019
"Beverages, spirits and vinegar",422,"Beer",42203,"Foodstuffs",4,4164288,2019
"Beverages, spirits and vinegar",422,"Wine",42204,"Foodstuffs",4,8386,2019
"Beverages, spirits and vinegar",422,"Vermouth",42205,"Foodstuffs",4,182,2019
"Beverages, spirits and vinegar",422,"Other Fermented Beverages",42206,"Foodstuffs",4,4605,2019
"Beverages, spirits and vinegar",422,"Alcohol > 80% ABV",42207,"Foodstuffs",4,18032109,2019
"Beverages, spirits and vinegar",422,"Hard Liquor",42208,"Foodstuffs",4,19780742,2019
"Beverages, spirits and vinegar",422,"Vinegar",42209,"Foodstuffs",4,203519,2019
"Exports",1,"Beverages, spirits and vinegar",422,"Beverages, spirits and vinegar",1,1,2019
"Food industries, residues and wastes thereof; prepared animal fodder",423,"Animal Meal and Pellets",42301,"Foodstuffs",4,4863350,2019
"Food industries, residues and wastes thereof; prepared animal fodder",423,"Bran",42302,"Foodstuffs",4,61727,2019
"Food industries, residues and wastes thereof; prepared animal fodder",423,"Starch Residue",42303,"Foodstuffs",4,71260,2019
"Food industries, residues and wastes thereof; prepared animal fodder",423,"Soybean Meal",42304,"Foodstuffs",4,967847,2019
"Food industries, residues and wastes thereof; prepared animal fodder",423,"Other Vegetable Residues",42306,"Foodstuffs",4,144663,2019
"Food industries, residues and wastes thereof; prepared animal fodder",423,"Other Vegetable Residues and Waste",42308,"Foodstuffs",4,995750,2019
"Food industries, residues and wastes thereof; prepared animal fodder",423,"Animal Food",42309,"Foodstuffs",4,42989869,2019
"Exports",1,"Food industries, residues and wastes thereof; prepared animal fodder",423,"Food industries, residues and wastes thereof; prepared animal fodder",1,1,2019
"Tobacco and manufactured tobacco substitutes",424,"Raw Tobacco",42401,"Foodstuffs",4,653692,2019
"Tobacco and manufactured tobacco substitutes",424,"Rolled Tobacco",42402,"Foodstuffs",4,4441543,2019
"Tobacco and manufactured tobacco substitutes",424,"Processed Tobacco",42403,"Foodstuffs",4,11162,2019
"Exports",1,"Tobacco and manufactured tobacco substitutes",424,"Tobacco and manufactured tobacco substitutes",1,1,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Salt",52501,"Mineral Products",5,871095,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Sulphur",52503,"Mineral Products",5,4319,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Graphite",52504,"Mineral Products",5,2130,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Sand",52505,"Mineral Products",5,632429,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Quartz",52506,"Mineral Products",5,6249,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Kaolin",52507,"Mineral Products",5,106327,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Clays",52508,"Mineral Products",5,25091,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Chalk",52509,"Mineral Products",5,2031.0000000000002,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Calcium Phosphates",52510,"Mineral Products",5,4505,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Siliceous Fossil Meals",52512,"Mineral Products",5,408937,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Pumice",52513,"Mineral Products",5,1307,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Slate",52514,"Mineral Products",5,6.999999999999999,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Marble, Travertine and Alabaster",52515,"Mineral Products",5,3588.0000000000005,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Granite",52516,"Mineral Products",5,231,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Gravel and Crushed Stone",52517,"Mineral Products",5,526167,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Dolomite",52518,"Mineral Products",5,62492,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Magnesium Carbonate",52519,"Mineral Products",5,140195,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Gypsum",52520,"Mineral Products",5,201339,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Limestone",52521,"Mineral Products",5,76289,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Quicklime",52522,"Mineral Products",5,5181,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Cement",52523,"Mineral Products",5,28242837,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Mica",52525,"Mineral Products",5,677,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Soapstone",52526,"Mineral Products",5,37159,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Borax",52528,"Mineral Products",5,3540,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Feldspar",52529,"Mineral Products",5,1868,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Other Mineral",52530,"Mineral Products",5,60066,2019
"Exports",1,"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,1,2019
"Ores, slag and ash",526,"Chromium Ore",52610,"Mineral Products",5,1699,2019
"Ores, slag and ash",526,"Molybdenum Ore",52613,"Mineral Products",5,450,2019
"Ores, slag and ash",526,"Precious Metal Ore",52616,"Mineral Products",5,201,2019
"Ores, slag and ash",526,"Other Ores",52617,"Mineral Products",5,2030,2019
"Ores, slag and ash",526,"Granulated Slag",52618,"Mineral Products",5,128380,2019
"Ores, slag and ash",526,"Non-Iron and Steel Slag, Ash and Residues",52620,"Mineral Products",5,3530895,2019
"Ores, slag and ash",526,"Other Slag and Ash",52621,"Mineral Products",5,5,2019
"Exports",1,"Ores, slag and ash",526,"Ores, slag and ash",1,1,2019
"Mineral fuels, mineral oils and products of their distillation",527,"Coal Tar Oil",52707,"Mineral Products",5,117186,2019
"Mineral fuels, mineral oils and products of their distillation",527,"Pitch Coke",52708,"Mineral Products",5,87,2019
"Mineral fuels, mineral oils and products of their distillation",527,"Refined Petroleum",52710,"Mineral Products",5,2814359,2019
"Mineral fuels, mineral oils and products of their distillation",527,"Petroleum Gas",52711,"Mineral Products",5,7103,2019
"Mineral fuels, mineral oils and products of their distillation",527,"Petroleum Jelly",52712,"Mineral Products",5,359542,2019
"Mineral fuels, mineral oils and products of their distillation",527,"Petroleum Coke",52713,"Mineral Products",5,69,2019
"Mineral fuels, mineral oils and products of their distillation",527,"Asphalt",52714,"Mineral Products",5,7386,2019
"Mineral fuels, mineral oils and products of their distillation",527,"Asphalt Mixtures",52715,"Mineral Products",5,1088,2019
"Mineral fuels, mineral oils and products of their distillation",527,"Electricity",52716,"Mineral Products",5,6678184,2019
"Exports",1,"Mineral fuels, mineral oils and products of their distillation",527,"Mineral fuels, mineral oils and products of their distillation",1,1,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Halogens",62801,"Chemical Products",6,15194,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Carbon",62803,"Chemical Products",6,81558,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Hydrogen",62804,"Chemical Products",6,913985,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Alkaline Metals",62805,"Chemical Products",6,154,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Hydrochloric Acid",62806,"Chemical Products",6,27414,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Sulfuric Acid",62807,"Chemical Products",6,7756,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Nitric Acids",62808,"Chemical Products",6,6394,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Phosphoric Acid",62809,"Chemical Products",6,56425,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Boron",62810,"Chemical Products",6,17957,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Other Inorganic Acids",62811,"Chemical Products",6,10493371,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Ammonia",62814,"Chemical Products",6,12150,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Sodium or Potassium Peroxides",62815,"Chemical Products",6,201812,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Zinc Oxide and Peroxide",62817,"Chemical Products",6,216042,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Aluminium Oxide",62818,"Chemical Products",6,700,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Iron Oxides and Hydroxides",62821,"Chemical Products",6,280560,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Titanium Oxides",62823,"Chemical Products",6,24497,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Lead Oxides",62824,"Chemical Products",6,12,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Inorganic Salts",62825,"Chemical Products",6,15936,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Fluorides",62826,"Chemical Products",6,14641.000000000002,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Chlorides",62827,"Chemical Products",6,220207,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Hypochlorites",62828,"Chemical Products",6,1437177,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Sulfides",62830,"Chemical Products",6,495,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Sulfites",62832,"Chemical Products",6,251844,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Sulfates",62833,"Chemical Products",6,1004604,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Nitrites and Nitrates",62834,"Chemical Products",6,339659.99999999994,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Phosphinates and Phosphonates",62835,"Chemical Products",6,272960,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Carbonates",62836,"Chemical Products",6,275005,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Silicates",62839,"Chemical Products",6,547930,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Borates",62840,"Chemical Products",6,3332,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Oxometallic or Peroxometallic Acid Salts",62841,"Chemical Products",6,7678,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Other Inorganic Acids Salts",62842,"Chemical Products",6,3938,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Precious Metal Compounds",62843,"Chemical Products",6,20,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Radioactive Chemicals",62844,"Chemical Products",6,4000,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Other Isotopes",62845,"Chemical Products",6,1,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Hydrogen peroxide",62847,"Chemical Products",6,17864,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Carbides",62849,"Chemical Products",6,29805,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Inorganic Compounds",62851,"Chemical Products",6,4774,2019
"Exports",1,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1,1,2019
"Organic chemicals",629,"Acyclic Hydrocarbons",62901,"Chemical Products",6,339285,2019
"Organic chemicals",629,"Cyclic Hydrocarbons",62902,"Chemical Products",6,499583,2019
"Organic chemicals",629,"Halogenated Hydrocarbons",62903,"Chemical Products",6,21613,2019
"Organic chemicals",629,"Sulfonated, Nitrated or Nitrosated Hydrocarbons",62904,"Chemical Products",6,8804,2019
"Organic chemicals",629,"Acyclic Alcohols",62905,"Chemical Products",6,165853,2019
"Organic chemicals",629,"Cyclic Alcohols",62906,"Chemical Products",6,60829.99999999999,2019
"Organic chemicals",629,"Phenols",62907,"Chemical Products",6,20834,2019
"Organic chemicals",629,"Ethers",62909,"Chemical Products",6,308170,2019
"Organic chemicals",629,"Epoxides",62910,"Chemical Products",6,6075,2019
"Organic chemicals",629,"Aldehydes",62912,"Chemical Products",6,480529.99999999994,2019
"Organic chemicals",629,"Ketones and Quinones",62914,"Chemical Products",6,178569,2019
"Organic chemicals",629,"Saturated Acyclic Monocarboxylic Acids",62915,"Chemical Products",6,522256,2019
"Organic chemicals",629,"Unsaturated Acyclic Monocarboxylic Acids",62916,"Chemical Products",6,463958,2019
"Organic chemicals",629,"Polycarboxylic Acids",62917,"Chemical Products",6,152962,2019
"Organic chemicals",629,"Carboxylic Acids",62918,"Chemical Products",6,446275,2019
"Organic chemicals",629,"Amine Compounds",62921,"Chemical Products",6,121816,2019
"Organic chemicals",629,"Oxygen Amino Compounds",62922,"Chemical Products",6,164278,2019
"Organic chemicals",629,"Quaternary Ammonium Salts and Hydroxides",62923,"Chemical Products",6,1513954,2019
"Organic chemicals",629,"Carboxyamide Compounds",62924,"Chemical Products",6,152958,2019
"Organic chemicals",629,"Carboxyimide Compounds",62925,"Chemical Products",6,27268,2019
"Organic chemicals",629,"Nitrile Compounds",62926,"Chemical Products",6,119472,2019
"Organic chemicals",629,"Diazo, Azo or Aoxy Compounds",62927,"Chemical Products",6,243,2019
"Organic chemicals",629,"Hydrazine or Hydroxylamine Derivatives",62928,"Chemical Products",6,9743,2019
"Organic chemicals",629,"Other Nitrogen Compounds",62929,"Chemical Products",6,70235,2019
"Organic chemicals",629,"Organo-Sulfur Compounds",62930,"Chemical Products",6,404137,2019
"Organic chemicals",629,"Other Organo-Inorganic Compounds",62931,"Chemical Products",6,43100,2019
"Organic chemicals",629,"Oxygen Heterocyclic Compounds",62932,"Chemical Products",6,136818,2019
"Organic chemicals",629,"Nitrogen Heterocyclic Compounds",62933,"Chemical Products",6,1178600,2019
"Organic chemicals",629,"Nucleic Acids",62934,"Chemical Products",6,483119,2019
"Organic chemicals",629,"Sulfonamides",62935,"Chemical Products",6,36262,2019
"Organic chemicals",629,"Vitamins",62936,"Chemical Products",6,479469,2019
"Organic chemicals",629,"Hormones",62937,"Chemical Products",6,31783,2019
"Organic chemicals",629,"Glycosides",62938,"Chemical Products",6,3,2019
"Organic chemicals",629,"Vegetable Alkaloids",62939,"Chemical Products",6,157,2019
"Organic chemicals",629,"Chemically Pure Sugars",62940,"Chemical Products",6,3698,2019
"Organic chemicals",629,"Antibiotics",62941,"Chemical Products",6,500043.00000000006,2019
"Organic chemicals",629,"Other Organic Compounds",62942,"Chemical Products",6,69620,2019
"Exports",1,"Organic chemicals",629,"Organic chemicals",1,1,2019
"Pharmaceutical products",630,"Glands and Other Organs",63001,"Chemical Products",6,5137040,2019
"Pharmaceutical products",630,"Blood, antisera, vaccines, toxins and cultures",63002,"Chemical Products",6,143603139,2019
"Pharmaceutical products",630,"Unpackaged Medicaments",63003,"Chemical Products",6,881808,2019
"Pharmaceutical products",630,"Packaged Medicaments",63004,"Chemical Products",6,167787365,2019
"Pharmaceutical products",630,"Bandages",63005,"Chemical Products",6,1084137,2019
"Pharmaceutical products",630,"Special Pharmaceuticals",63006,"Chemical Products",6,8289436,2019
"Exports",1,"Pharmaceutical products",630,"Pharmaceutical products",1,1,2019
"Fertilizers",631,"Animal or Vegetable Fertilizers",63101,"Chemical Products",6,45968,2019
"Fertilizers",631,"Nitrogenous Fertilizers",63102,"Chemical Products",6,4402680,2019
"Fertilizers",631,"Phosphatic Fertilizers",63103,"Chemical Products",6,13875,2019
"Fertilizers",631,"Potassic Fertilizers",63104,"Chemical Products",6,1101785,2019
"Fertilizers",631,"Mixed Mineral or Chemical Fertilizers",63105,"Chemical Products",6,29538449,2019
"Exports",1,"Fertilizers",631,"Fertilizers",1,1,2019
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Vegetable Tanning Extracts",63201,"Chemical Products",6,55.99999999999999,2019
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Synthetic Tanning Extracts",63202,"Chemical Products",6,14415,2019
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Vegetable or Animal Dyes",63203,"Chemical Products",6,232821,2019
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Synthetic Coloring Matter",63204,"Chemical Products",6,1565881,2019
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Lake Pigments",63205,"Chemical Products",6,153120,2019
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Other Coloring Matter",63206,"Chemical Products",6,906661,2019
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Prepared Pigments",63207,"Chemical Products",6,854152,2019
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Nonaqueous Paints",63208,"Chemical Products",6,38608998,2019
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Aqueous Paints",63209,"Chemical Products",6,20854640,2019
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Other Paints",63210,"Chemical Products",6,247270,2019
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Prepared Paint Driers",63211,"Chemical Products",6,97139,2019
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Nonaqueous Pigments",63212,"Chemical Products",6,3649577,2019
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Artistry Paints",63213,"Chemical Products",6,189852,2019
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Glaziers Putty",63214,"Chemical Products",6,12150342,2019
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Ink",63215,"Chemical Products",6,17427901,2019
"Exports",1,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1,1,2019
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",633,"Essential Oils",63301,"Chemical Products",6,12396347,2019
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",633,"Scented Mixtures",63302,"Chemical Products",6,15541852,2019
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",633,"Perfumes",63303,"Chemical Products",6,895469,2019
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",633,"Beauty Products",63304,"Chemical Products",6,6084103,2019
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",633,"Hair Products",63305,"Chemical Products",6,5200148,2019
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",633,"Dental Products",63306,"Chemical Products",6,318786,2019
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",633,"Shaving Products",63307,"Chemical Products",6,4420561,2019
"Exports",1,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,1,2019
"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",634,"Soap",63401,"Chemical Products",6,5691082,2019
"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",634,"Cleaning Products",63402,"Chemical Products",6,32863830,2019
"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",634,"Lubricating Products",63403,"Chemical Products",6,2312624,2019
"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",634,"Waxes",63404,"Chemical Products",6,451137,2019
"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",634,"Polishes and Creams",63405,"Chemical Products",6,6925303,2019
"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",634,"Candles",63406,"Chemical Products",6,34094,2019
"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",634,"Pastes and Waxes",63407,"Chemical Products",6,53152,2019
"Exports",1,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",634,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1,1,2019
"Albuminoidal substances; modified starches; glues; enzymes",635,"Casein",63501,"Chemical Products",6,4917,2019
"Albuminoidal substances; modified starches; glues; enzymes",635,"Water Soluble Proteins",63502,"Chemical Products",6,5,2019
"Albuminoidal substances; modified starches; glues; enzymes",635,"Peptones",63504,"Chemical Products",6,685458,2019
"Albuminoidal substances; modified starches; glues; enzymes",635,"Dextrins",63505,"Chemical Products",6,131612,2019
"Albuminoidal substances; modified starches; glues; enzymes",635,"Glues",63506,"Chemical Products",6,15315595,2019
"Albuminoidal substances; modified starches; glues; enzymes",635,"Enzymes",63507,"Chemical Products",6,1769605,2019
"Exports",1,"Albuminoidal substances; modified starches; glues; enzymes",635,"Albuminoidal substances; modified starches; glues; enzymes",1,1,2019
"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations",636,"Prepared Explosives",63602,"Chemical Products",6,29787557,2019
"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations",636,"Detonating Fuses",63603,"Chemical Products",6,4730831,2019
"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations",636,"Matches",63605,"Chemical Products",6,8510,2019
"Exports",1,"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations",636,"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations",1,1,2019
"Photographic or cinematographic goods",637,"Photographic Plates",63701,"Chemical Products",6,582045,2019
"Photographic or cinematographic goods",637,"Photographic Film",63702,"Chemical Products",6,1471,2019
"Photographic or cinematographic goods",637,"Photographic Paper",63703,"Chemical Products",6,4975,2019
"Photographic or cinematographic goods",637,"Developed Exposed Photographic Material",63705,"Chemical Products",6,38080,2019
"Photographic or cinematographic goods",637,"Motion-picture film, exposed and developed",63706,"Chemical Products",6,505,2019
"Photographic or cinematographic goods",637,"Photographic Chemicals",63707,"Chemical Products",6,135401,2019
"Exports",1,"Photographic or cinematographic goods",637,"Photographic or cinematographic goods",1,1,2019
"Chemical products n.e.s.",638,"Artificial Graphite",63801,"Chemical Products",6,81,2019
"Chemical products n.e.s.",638,"Activated Carbon",63802,"Chemical Products",6,110519,2019
"Chemical products n.e.s.",638,"Wood Pulp Lyes",63804,"Chemical Products",6,1128,2019
"Chemical products n.e.s.",638,"Turpentine",63805,"Chemical Products",6,2283,2019
"Chemical products n.e.s.",638,"Wood Tar, Oils and Pitch",63807,"Chemical Products",6,30763.999999999996,2019
"Chemical products n.e.s.",638,"Pesticides",63808,"Chemical Products",6,96116923,2019
"Chemical products n.e.s.",638,"Dyeing Finishing Agents",63809,"Chemical Products",6,229689,2019
"Chemical products n.e.s.",638,"Metal Pickling Preparations",63810,"Chemical Products",6,91319,2019
"Chemical products n.e.s.",638,"Antiknock",63811,"Chemical Products",6,468638,2019
"Chemical products n.e.s.",638,"Prepared Rubber Accelerators",63812,"Chemical Products",6,318105,2019
"Chemical products n.e.s.",638,"Fire Extinguishers Preparations",63813,"Chemical Products",6,372.00000000000006,2019
"Chemical products n.e.s.",638,"Organic Composite Solvents",63814,"Chemical Products",6,2127595,2019
"Chemical products n.e.s.",638,"Reaction and Catalytic Products",63815,"Chemical Products",6,342077,2019
"Chemical products n.e.s.",638,"Refractory Cements",63816,"Chemical Products",6,469009,2019
"Chemical products n.e.s.",638,"Alkylbenzenes and Alkylnaphthalenes",63817,"Chemical Products",6,50,2019
"Chemical products n.e.s.",638,"Disc Chemicals for Electronics",63818,"Chemical Products",6,126941,2019
"Chemical products n.e.s.",638,"Hydraulic Brake Fluid",63819,"Chemical Products",6,57396,2019
"Chemical products n.e.s.",638,"Antifreeze",63820,"Chemical Products",6,169713,2019
"Chemical products n.e.s.",638,"Micro-Organism Culture Preparations",63821,"Chemical Products",6,89413,2019
"Chemical products n.e.s.",638,"Laboratory Reagents",63822,"Chemical Products",6,1795017,2019
"Chemical products n.e.s.",638,"Industrial Fatty Acids, Oils and Alcohols",63823,"Chemical Products",6,14661101,2019
"Exports",1,"Chemical products n.e.s.",638,"Chemical products n.e.s.",1,1,2019
"Plastics and articles thereof",739,"Ethylene Polymers",73901,"Plastics and Rubbers",7,2294038,2019
"Plastics and articles thereof",739,"Propylene Polymers",73902,"Plastics and Rubbers",7,1627813,2019
